Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,40TOUKHABA,Рюкзак Tecnifibre Tour Endurance Khaki - Green/Black,Tecnifibre,8392 ₽,https://saletennis.com/catalog/product/riukzak-tecnifibre-tour-endurance-khaki-green-black-16912,Санкт-Петербург (Спортивная): 1 шт,1.0,public/data/product_images/f755827fb100.webp,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,40TOUNAVBP,Рюкзак Tecnifibre Tour Endurance - Navy,Tecnifibre,9992 ₽,https://saletennis.com/catalog/product/riukzak-tecnifibre-tour-endurance-navy-16910,Бисертская: 1 шт,1.0,public/data/product_images/bb28758a3f37.webp,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0
Сумки и чехлы,WR8023802001,Рюкзак Wilson Junior Tennis Backpack - Blue/Orange,Wilson,4990 ₽,https://saletennis.com/catalog/product/riukzak-wilson-junior-tennis-backpack-blue-orange-15129,Соболева: 2 шт | Уфа: 2 шт | Парина: 1 шт | Бисертская: 1 шт | Ижевск: 1 шт | Тюмень (Народная): 1 шт,8.0,public/data/product_images/e1f999f938ad.webp,0.0,0.0,0,2.0,1.0,1.0,0,1.0,2.0,1.0
Сумки и чехлы,WR8023801001,Рюкзак Wilson Junior Tennis Backpack - Light Grey/Red Blue,Wilson,5592 ₽,https://saletennis.com/catalog/product/riukzak-wilson-junior-tennis-backpack-light-grey-red-blue-15130,Бисертская: 1 шт | Уфа: 1 шт | Тюмень (Народная): 1 шт,3.0,public/data/product_images/f0ee2e6d9b79.webp,0.0,0.0,0,0.0,0.0,1.0,0,1.0,1.0,0.0
Сумки и чехлы,WR8051901001,Рюкзак Wilson Pro Staff Classic Backpack,Wilson,11992 ₽,https://saletennis.com/catalog/product/riukzak-wilson-pro-staff-classic-backpack-18705,Бисертская: 1 шт,1.0,public/data/product_images/0d84a3944134.webp,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0
Сумки и чехлы,WR8023001001,Рюкзак Wilson Team Backpack Heather - Green,Wilson,7992 ₽,https://saletennis.com/catalog/product/riukzak-wilson-team-backpack-heather-green-1-16059,Соболева: 1 шт,1.0,public/data/product_images/4d02f1adbbb0.webp,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,WR8037401001,Рюкзак Wilson Tour Backpack 2025 Black,Wilson,10392 ₽,https://saletennis.com/catalog/product/riukzak-wilson-tour-backpack-2025-black-18264,Бисертская: 1 шт | Ижевск: 1 шт | Уфа: 1 шт | Тюмень: 1 шт | Парина: 1 шт,5.0,public/data/product_images/277742b3c7b1.webp,0.0,0.0,0,0.0,1.0,1.0,0,1.0,1.0,1.0
Сумки и чехлы,WR8024201001,Рюкзак Wilson Tour Backpack - Ultra Blue,Wilson,11192 ₽,https://saletennis.com/catalog/product/riukzak-wilson-tour-backpack-ultra-blue-16060,Тюмень: 1 шт,1.0,public/data/product_images/f89ca0e6d65d.webp,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0
Сумки и чехлы,WR8044501001,Рюкзак Wilson Ultra Tour Backpack V5 - Electric Indigo,Wilson,11192 ₽,https://saletennis.com/catalog/product/riukzak-wilson-ultra-tour-backpack-v5-electric-indigo-18049,Тюмень (Народная): 1 шт | Парина: 1 шт | Санкт-Петербург (Спортивная): 1 шт,3.0,public/data/product_images/9ec95c5965f7.webp,0.0,1.0,0,0.0,1.0,0.0,0,1.0,0.0,0.0
Сумки и чехлы,WR8054701001,Рюкзак Wilson Ultra Tour Junior Backpack V5 - Electric Indigo,Wilson,4792 ₽,https://saletennis.com/catalog/product/riukzak-wilson-ultra-tour-junior-backpack-v5-electric-indigo-18050,Ижевск: 1 шт | Соболева: 1 шт | Тюмень (Народная): 1 шт,3.0,public/data/product_images/b94e8edab224.webp,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,1.0
Сумки и чехлы,CB76-BK,Сумка 7/6 Club Bag - Black,7/6,7990 ₽,https://saletennis.com/catalog/product/sumka-7-6-club-bag-black-18656,Ижевск: 1 шт | Санкт-Петербург (Спортивная): 2 шт | Санкт-Петербург (Ярослава Гашека): 2 шт | Елизаветенское шоссе: 1 шт,6.0,public/data/product_images/625bb6876931.webp,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0.0,1.0
Сумки и чехлы,BA5451-BL,Сумка 7/6 Racket Holder 6 Rackets - Blue,7/6,5990 ₽,https://saletennis.com/catalog/product/sumka-7-6-racket-holder-6-rackets-blue-16791,Соболева: 1 шт | Парина: 1 шт | Санкт-Петербург (Ярослава Гашека): 1 шт | Бисертская: 1 шт,4.0,public/data/product_images/6faaf4cb243a.webp,1.0,0.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
Сумки и чехлы,BA5451-PL,Сумка 7/6 Racket Holder 6 Rackets - Purple,7/6,5990 ₽,https://saletennis.com/catalog/product/sumka-7-6-racket-holder-6-rackets-purple-16792,Бисертская: 1 шт | Основной склад Екатеринбург: 1 шт | Соболева: 1 шт | Парина: 1 шт | Санкт-Петербург (Ярослава Гашека): 1 шт | Санкт-Петербург (Спортивная): 2 шт | Уфа: 1 шт,8.0,public/data/product_images/22fd91bd52f8.webp,1.0,2.0,1,1.0,1.0,1.0,0,0.0,1.0,0.0
Сумки и чехлы,DB76-BK,Сумка 7/6 Tennis Duffle Bag - Black,7/6,8990 ₽,https://saletennis.com/catalog/product/sumka-7-6-tennis-duffle-bag-black-18816,Тюмень (Народная): 2 шт | Соболева: 1 шт | Бисертская: 1 шт | Елизаветенское шоссе: 2 шт | Ижевск: 1 шт | Уфа: 1 шт | Парина: 1 шт | Санкт-Петербург (Ярослава Гашека): 2 шт,11.0,public/data/product_images/e04433f12d60.webp,2.0,0.0,0,1.0,1.0,1.0,2,2.0,1.0,1.0
Сумки и чехлы,DB76-WH,Сумка 7/6 Tennis Duffle Bag - White,7/6,8990 ₽,https://saletennis.com/catalog/product/sumka-7-6-tennis-duffle-bag-white-18817,Елизаветенское шоссе: 1 шт | Парина: 1 шт | Санкт-Петербург (Ярослава Гашека): 1 шт | Ижевск: 1 шт,4.0,public/data/product_images/1f35414921a3.webp,1.0,0.0,0,0.0,1.0,0.0,1,0.0,0.0,1.0
