Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,ORS-7601,Чехол для ракетки 7/6 One Racket - Black,7/6,4990 ₽,https://saletennis.com/catalog/product/chiekhol-dlia-rakietki-7-6-one-racket-black-19469/,Соболева: 4 шт | Бисертская: 2 шт | Уфа: 3 шт | Ижевск: 4 шт | Тюмень (Народная): 3 шт | Санкт-Петербург (Спортивная): 8 шт | Санкт-Петербург (Ярослава Гашека): 2 шт | Парина: 5 шт,31,data\product_images\6bb4e37097e7.png,2,8,0,4,5,2,0,3,3,4
Сумки и чехлы,262344-BLBK,Рюкзак Head Team Backpack 21L - Blue/Black,Head,3799 ₽,https://saletennis.com/catalog/product/riukzak-head-team-backpack-21l-blue-black-17726/,Парина: 1 шт,1,data\product_images\15c60d0db8b6.png,0,0,0,0,1,0,0,0,0,0
Сумки и чехлы,KB276-PK,Детский рюкзак 7/6 Kids Backpack 2.0 - Pink,7/6,4990 ₽,https://saletennis.com/catalog/product/dietskii-riukzak-7-6-kids-backpack-2-0-pink-18815/,Санкт-Петербург (Ярослава Гашека): 3 шт | Ижевск: 1 шт | Санкт-Петербург (Спортивная): 5 шт | Парина: 1 шт | Тюмень (Народная): 1 шт | Бисертская: 2 шт,13,data\product_images\068d0979d61e.png,3,5,0,0,1,2,0,1,0,1
Сумки и чехлы,260015-BK,Сумка Head Pro X Racquet Bag L - Black,Head,12952 ₽,https://saletennis.com/catalog/product/sumka-head-pro-x-racquet-bag-l-black-18222/,Бисертская: 1 шт,1,data\product_images\c35d82b90bd0.png,0,0,0,0,0,1,0,0,0,0
Сумки и чехлы,260814-FO,Сумка Head Tour Racquet Bag XL - Fluo/Orange,Head,10522 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-xl-fluo-orange-17055/,Ижевск: 1 шт,1,data\product_images\f1e0f7972002.png,0,0,0,0,0,0,0,0,0,1
Сумки и чехлы,751248-100,Сумка Babolat Pure Strike 9 Pack 2026,Babolat,15192 ₽,https://saletennis.com/catalog/product/sumka-babolat-pure-strike-9-pack-2026-18753/,Парина: 2 шт,2,data\product_images\3026b168ed1c.png,0,0,0,0,2,0,0,0,0,0
Сумки и чехлы,40TOURIGBP,Рюкзак Tecnifibre Tour Endurance IGA - Orange,Tecnifibre,8392 ₽,https://saletennis.com/catalog/product/riukzak-tecnifibre-tour-endurance-iga-orange-19081/,Соболева: 1 шт | Уфа: 1 шт | Санкт-Петербург (Спортивная): 1 шт | Парина: 1 шт,4,data\product_images\75a3cdb6b84c.png,0,1,0,1,1,0,0,0,1,0
Сумки и чехлы,WR8010501001,Сумка Wilson Super Tour 9PK - Red,Wilson,19493 ₽,https://saletennis.com/catalog/product/sumka-wilson-super-tour-9pk-red-16065/,Бисертская: 1 шт,1,data\product_images\8e973e0750cb.png,0,0,0,0,0,1,0,0,0,0
Сумки и чехлы,751234-136,Сумка Babolat Pure Drive 6 Pack 2025,Babolat,15992 ₽,https://saletennis.com/catalog/product/sumka-babolat-pure-drive-6-pack-2025-17510/,Парина: 1 шт,1,data\product_images\5bc01fada407.png,0,0,0,0,1,0,0,0,0,0
Сумки и чехлы,261235-BK,Рюкзак Head Base Backpack 17L - Black,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-black-18136/,Санкт-Петербург (Спортивная): 1 шт | Соболева: 1 шт | Парина: 2 шт,4,data\product_images\1d6ca8ba672c.png,0,1,0,1,2,0,0,0,0,0
